customer_id,total_orders,total_amount,repeat_purchaser
133.80891545475276,30,125305,1
359.0158570443249,384,556210,1
8.83891197531218,11,29051,1
70.608098929775,29,68266,1
521.4943750833894,174,249163,1
646.5686289217518,6,6104,1
799.0385710962556,11,58141,1
100003.4798175209,6,14694,1
975.5116908932578,3,4299,1
438.017090582763,20,62480,1
52.78812959108549,2,4975,1
532.8459614653655,8,17495,1
1184.325768243127,3,2197,1
545.5577659784851,17,34890,1
100009.20012090271,3,11089,1
747.3402053090736,2,2073,1
77.50398906414111,2,3451,1
931.9915599957801,3,2368,1
1045.298433236452,2,2497,1
148.64156636519465,16,83745,1
528.5975612810741,45,125607,1
54.119155021768755,2,4982,1
118.14430854636205,135,306209,1
144.74545024115915,3,14034,1
31.711893989555705,391,909049,1
629.1750209017888,8,17398,1
724.281854058202,17,34856,1
597.8126594423591,6,5959,1
550.099554214383,4,5945,1
89.71944075706804,154,236014,1
1054.5703052411668,10,8591,1
331.5122152880688,7,10023,1
211.74730418694935,38,51016,1
1129.5777636316932,3,2101,1
11.296398125963652,11,27666,1
644.499000833931,30,74431,1
728.7361794656263,17,34847,1
938.8565623264981,56,114435,1
1150.4732988887138,6,35457,1
98.78228942002278,302,923042,1
8.326072251525252,11,28103,1
648.4975664074034,93,121864,1
303.03967710594304,21,46936,1
686.6739095297958,3,6226,1
262.782488545727,2,10528,1
1063.6645234456141,23,18828,1
705.8954237788507,60,180160,1
1031.1064559505535,2,1378,1
565.0474476125291,6,6019,1
176.13733324786796,28,84923,1
100002.41869458277,7,22132,1
83.1167968565718,2,5713,1
233.3329902325662,413,545405,1
52.07094487778602,556,2194532,1
229.5679342148976,81,353855,1
133.3891072093534,223,434308,1
303.1204936842013,5,10798,1
32.92549065617441,2,4793,1
620.2180052886383,734,3328829,1
727.5099010727579,6,11745,1
689.4612374365306,4,6020,1
100002.74617246329,8,27177,1
42.08994979250878,2,4918,1
908.8837088582101,10,12047,1
943.6253856751989,10,11529,1
326.3579005972092,2,3150,1
480.28495857151484,2,1424,1
1119.5100971224197,18,68685,1
250.25491159195394,15,31269,1
198.69408558310323,3,11799,1
932.7420091598196,6,4916,1
159.12050177031745,21,84194,1
223.0149526198461,3,6613,1
495.3856697623967,2,1462,1
324.17456726837094,2,4605,1
561.8216341640712,2,2256,1
283.51427861210186,3,3267,1
909.7853796836732,29,38951,1
1143.3405623697117,2,2576,1
90.38672777453876,3,3439,1
272.68976788133506,3,5829,1
702.2219067844034,6,5038,1
721.0861684027068,18,25897,1
100002.92464333022,5,9483,1
50.7214652634886,124,392438,1
372.7408099350379,2,1439,1
107.11395421205548,31,74249,1
100005.30173818835,5,10407,1
616.9604523825286,3,2375,1
100008.48233625389,3,8461,1
